,Solar Size [MW],Battery Charge Rate [MW],Battery Storage Hours,LCOH [$/kg],H2 Transmission Cost [$/kg],HPP CF,Electrolyzer CF
0,0,0,0.0,3.9942280643751293,0.14892838245563716,0.5309241610481104,0.9518373167877197
1,0,50,1.0,4.0512782240072,0.14892838245563716,0.5308973828833539,0.9518373167877197
2,0,50,4.0,4.136969803705975,0.14892838245563716,0.5308973828833539,0.9518373167877197
3,0,100,2.0,4.165533663605566,0.14892838245563716,0.5308973828833539,0.9518373167877197
4,100,0,0.0,4.032187447277407,0.14892838245563716,0.5765579084410598,0.9518373167877197
5,100,50,1.0,4.088185674582045,0.14892838245563716,0.576758722042632,0.9518373167877197
6,100,50,4.0,4.171974366336921,0.14892838245563716,0.5769868261309965,0.9518373167877197
7,100,100,2.0,4.200169072498152,0.14892838245563716,0.5769868261309965,0.9518373167877197
8,250,0,0.0,4.121449527174148,0.14892838245563716,0.6342003399183643,0.9518373167877197
9,250,50,1.0,4.175245168671154,0.14892838245563716,0.6349441541606233,0.9518373167877197
10,250,50,4.0,4.256567726766186,0.14892838245563716,0.6358794700510111,0.9518373167877197
11,250,100,2.0,4.284489584629459,0.14892838245563716,0.6359577146083197,0.9518373167877197
12,500,0,0.0,4.328109773085226,0.14892838245563716,0.7135233729130475,0.9518373167877197
13,500,50,1.0,4.381688532596482,0.14892838245563716,0.7143293822838459,0.9518373167877197
14,500,50,4.0,4.462155221807826,0.14892838245563716,0.7155101352263217,0.9518373167877197
15,500,100,2.0,4.490251408198609,0.14892838245563716,0.715538387687057,0.9518373167877197
